lang,perturb,seed,checkpoint0,checkpoint100,checkpoint200,checkpoint300,checkpoint400,checkpoint500,checkpoint600,checkpoint700,checkpoint800,checkpoint900,checkpoint1000,checkpoint1100,checkpoint1200
EN,perturb_adj_num,41,57009.595420905986,328.33061859031716,161.49259675674136,134.00805435035414,101.2056369582424,80.95951950841439,74.72029485477997,71.20942579854469,68.74945862615418,73.38336416337067,74.0039665220362,74.72848079395989,74.2660711933416
EN,perturb_adj_num,53,62409.269594126876,380.61350597043526,171.16246780320554,132.88132938904616,103.93546406967455,83.22219368724325,74.22784627376474,72.3793568143302,71.55442354061103,69.38808972248135,72.0735937891729,73.80144110199944,73.02562438000041
EN,perturb_adj_num,81,60307.35167237662,310.1131917749464,164.19733490733913,132.68587572770767,104.05066242355811,81.74824319501818,76.08268069238278,71.59712806511823,69.48681214771723,73.19741854715112,72.40292301354845,73.74031749953161,73.16664573009201
EN,perturb_adj_num_np_det,41,57185.650519782146,288.0733475878139,154.93419064861527,118.00087356703293,92.87482998831551,79.15082592441964,73.3905834046272,68.89674220577294,68.69605445330184,69.19470633484394,70.98638920426671,72.27203373684858,72.04874270459487
EN,perturb_adj_num_np_det,41,56569.16537129849,866.3106099422774,587.289892277708,483.30217653665375,398.3125252508275,378.2240885349283,349.62297262510623,362.85990906462183,366.12938595791627,375.4603864395782,403.21975893838913,419.69818902540027,420.65284872595635
EN,perturb_adj_num_np_det,53,62526.985721410354,295.1376243288396,146.89167476920554,121.01231693077436,89.52813447904094,75.06031776636048,69.77645056803412,66.83574936902042,66.9620698063455,69.21555827521738,69.67372176891965,70.01061467050609,71.15375991285788
EN,perturb_adj_num_np_det,53,62343.5603092438,878.0459923023019,550.7153275293326,483.82139589896525,382.8645507357937,365.2286824394926,346.8293235749681,349.53520246754454,355.6854045304257,388.0564966688448,392.84481405582176,408.7974686821942,420.95838630655743
EN,perturb_adj_num_np_det,81,60212.908404514266,284.7743862064174,146.1108913726515,115.7648177269118,89.01605809999056,73.58638972699373,68.93580061141631,67.0012034921969,67.32033379029838,67.18398636544885,68.37575744239625,69.37554367910822,69.76857721550553
EN,perturb_adj_num_np_det,81,61390.93390174682,924.1186321402838,558.6025141849956,466.9633916442862,387.88227823334586,355.09338499650397,331.1398328495253,329.98369085855836,349.839398759052,342.839971838035,371.67305051751856,378.54557949951175,384.5950479274715
IT,perturb_adj_num_np_det,41,54901.75301611768,449.1744775226844,222.25831623022083,183.0172100555233,158.6131743084954,119.22281716755907,113.67635778492179,104.87274833837961,105.71239927773354,104.82822544249822,105.72671966312645,109.12369035531519,107.5584880817711
IT,perturb_adj_num_np_det,53,55629.181646649384,434.5738455341045,217.8652084778644,182.09019188174057,150.98962988151317,126.84043575274931,110.18272038304738,101.6408029774315,102.25252729042343,100.31994237629254,100.03188024627295,100.15244715138294,101.78342880365156
IT,perturb_adj_num_np_det,81,62155.398022900496,479.592415400864,225.1139487873412,194.82849239932486,157.69099682677412,121.76227269007167,113.09369511675587,105.19804470440172,102.23939282888466,99.38832508154127,103.34653462511372,103.79267196816693,102.29143238307456
PT,perturb_adj_num_np_det,41,61996.07643824487,456.1587942492121,204.92422781538693,159.53246465918366,134.2862399861461,103.63507855520466,89.30462320063653,82.54429763084006,81.75888692692361,81.21962594037117,83.20515313647931,83.3429614026322,84.02559417561437
PT,perturb_adj_num_np_det,53,61022.39503252339,642.2426028533708,208.14293782463292,166.32125646904387,137.09597567874405,108.02408382765915,93.8102216581772,89.6321784573753,87.59266583532713,86.61697473795738,88.14830562282846,90.16670493292486,89.38683596913052
PT,perturb_adj_num_np_det,81,58047.598686242025,429.68566970448893,188.64275896410658,165.14808615269274,125.67892218717317,94.83313046120236,85.34660403433537,80.93884405857762,79.97983738459504,79.83726897187671,80.3481187976411,82.65852350065546,82.28451850100134
ZH,perturb_adj_num_np_det,41,24966.557621399334,177.55553278632007,105.04072580102387,84.76454494827335,68.59357493615906,59.663285683036584,57.714789267042256,58.32011149121429,58.438314520280734,60.952058635315936,60.05108343317434,60.11672846714065,61.46288880550231
ZH,perturb_adj_num_np_det,53,24820.801048807378,206.48144623234663,100.44496007479414,88.30225082655512,67.89466276670126,61.3955869248568,59.11290834393597,58.33846690674275,59.45253389687494,60.81481192329795,62.06806892090674,63.22783508966667,62.885898716452225
